,Conditions,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (EDT),Time (EST),Visibility,Wind Dir,Wind Speed,Windchill,date
16,Clear,-0.9°F,	,17.3mph,,40%,,30.48in,19.9°F,,4:51 PM,10.0mi,Variable,5.8mph,12.1°F,2014-01-08
17,Clear,-0.9°F,	,  -,,40%,,30.48in,19.9°F,,5:51 PM,10.0mi,West,6.9mph,11.1°F,2014-01-08
18,Clear,-0.0°F,	,  -,,40%,,30.52in,21.0°F,,6:51 PM,10.0mi,North,  -,  -,2014-01-08
19,Clear,-0.0°F,	,  -,,40%,,30.51in,21.0°F,,7:51 PM,10.0mi,WSW,9.2mph,10.6°F,2014-01-08
20,Clear,-0.0°F,	,  -,,40%,,30.52in,21.0°F,,8:51 PM,10.0mi,Variable,4.6mph,14.6°F,2014-01-08
21,Overcast,-0.0°F,	,  -,,40%,,30.52in,21.0°F,,9:51 PM,10.0mi,Calm,Calm,  -,2014-01-08
22,Overcast,-0.0°F,	,  -,,38%,,30.52in,21.9°F,,10:51 PM,10.0mi,WNW,5.8mph,14.5°F,2014-01-08
23,Overcast,1.9°F,	,  -,,42%,,30.50in,21.9°F,,11:51 PM,10.0mi,Variable,4.6mph,15.7°F,2014-01-08
0,Overcast,1.9°F,	,  -,,42%,,30.50in,21.9°F,,12:51 AM,10.0mi,Variable,4.6mph,15.7°F,2014-01-09
1,Overcast,1.9°F,	,  -,,40%,,30.50in,23.0°F,,1:51 AM,10.0mi,West,6.9mph,14.7°F,2014-01-09
2,Clear,3.0°F,	,  -,,40%,,30.51in,24.1°F,,2:51 AM,10.0mi,North,  -,  -,2014-01-09
3,Clear,3.9°F,	,  -,,44%,,30.52in,23.0°F,,3:51 AM,10.0mi,Calm,Calm,  -,2014-01-09
4,Clear,8.1°F,	,  -,,53%,,30.53in,23.0°F,,4:51 AM,10.0mi,WNW,6.9mph,14.7°F,2014-01-09
5,Clear,9.0°F,	,  -,,55%,,30.57in,23.0°F,,5:51 AM,10.0mi,North,  -,  -,2014-01-09
6,Clear,9.0°F,	,  -,,58%,,30.57in,21.9°F,,6:51 AM,10.0mi,Variable,3.5mph,17.2°F,2014-01-09
7,Clear,9.0°F,	,  -,,58%,,30.60in,21.9°F,,7:51 AM,10.0mi,WNW,3.5mph,17.2°F,2014-01-09
